Sport,Year,Team,gold_medals,silver_medals,bronze_medals,total_medals,participants,sport_total_medals,sport_total_participants,isHost
Diving,2008,Mexico,0,0,1,1,7,24,182,0
Diving,2008,China,7,1,3,11,10,24,182,1
Diving,2008,North Korea,0,0,0,0,4,24,182,0
Diving,2008,Romania,0,0,0,0,2,24,182,0
Diving,2008,Australia,1,1,0,2,9,24,182,0
Diving,2008,Brazil,0,0,0,0,4,24,182,0
Diving,2008,Germany,0,1,1,2,9,24,182,0
Diving,2008,Russia,0,3,2,5,10,24,182,0
Diving,2008,South Africa,0,0,0,0,1,24,182,0
Diving,2008,Sweden,0,0,0,0,2,24,182,0
Diving,2008,Philippines,0,0,0,0,2,24,182,0
Diving,2008,France,0,0,0,0,2,24,182,0
Diving,2008,Ukraine,0,0,1,1,9,24,182,0
Diving,2008,Venezuela,0,0,0,0,1,24,182,0
Diving,2008,Malaysia,0,0,0,0,4,24,182,0
Diving,2008,Belarus,0,0,0,0,4,24,182,0
Diving,2008,Japan,0,0,0,0,2,24,182,0
Diving,2008,Colombia,0,0,0,0,3,24,182,0
Diving,2008,Greece,0,0,0,0,1,24,182,0
Diving,2008,Finland,0,0,0,0,1,24,182,0
Diving,2008,South Korea,0,0,0,0,1,24,182,0
Diving,2004,Germany,0,1,0,1,10,24,196,0
Diving,2004,Great Britain,0,1,0,1,7,24,196,0
Diving,2004,Australia,1,1,4,6,7,24,196,0
Diving,2004,Hungary,0,0,0,0,3,24,196,0
Diving,2004,Cuba,0,0,0,0,6,24,196,0
Diving,2004,Greece,1,0,0,1,8,24,196,1
Diving,2004,Canada,0,1,1,2,6,24,196,0
Diving,2004,Italy,0,0,0,0,6,24,196,0
Diving,2004,United States,0,0,0,0,11,24,196,0
Diving,2004,North Korea,0,0,0,0,4,24,196,0
Diving,2004,Romania,0,0,0,0,1,24,196,0
Diving,2004,Brazil,0,0,0,0,4,24,196,0
Diving,2004,Switzerland,0,0,0,0,1,24,196,0
Diving,2004,Russia,0,2,2,4,9,24,196,0
Diving,2004,South Africa,0,0,0,0,1,24,196,0
Diving,2004,Spain,0,0,0,0,4,24,196,0
Diving,2004,Mexico,0,0,0,0,5,24,196,0
Diving,2004,France,0,0,0,0,1,24,196,0
Diving,2004,Ukraine,0,0,0,0,8,24,196,0
Diving,2004,Venezuela,0,0,0,0,1,24,196,0
Diving,2004,China,6,2,1,9,10,24,196,0
Diving,2004,Bermuda,0,0,0,0,1,24,196,0
Diving,2004,Malaysia,0,0,0,0,3,24,196,0
Diving,2004,Belarus,0,0,0,0,3,24,196,0
Diving,2004,Sweden,0,0,0,0,1,24,196,0
Diving,2004,Japan,0,0,0,0,2,24,196,0
Diving,2004,Finland,0,0,0,0,2,24,196,0
Diving,2004,Austria,0,0,0,0,2,24,196,0
Diving,2004,Puerto Rico,0,0,0,0,1,24,196,0
Diving,2004,Colombia,0,0,0,0,1,24,196,0
Diving,2000,Cuba,0,0,0,0,6,24,238,0
Diving,2000,Germany,0,0,2,2,8,24,238,0
Diving,2000,Kazakhstan,0,0,0,0,6,24,238,0
Diving,2000,Mexico,0,1,0,1,7,24,238,0
Diving,2000,Belarus,0,0,0,0,2,24,238,0
Diving,2000,Great Britain,0,0,0,0,8,24,238,0
Diving,2000,Spain,0,0,0,0,5,24,238,0
Diving,2000,Indonesia,0,0,0,0,3,24,238,0
Diving,2000,France,0,0,0,0,6,24,238,0
Diving,2000,Armenia,0,0,0,0,1,24,238,0
Diving,2000,Malaysia,0,0,0,0,3,24,238,0
Diving,2000,Hungary,0,0,0,0,4,24,238,0
Diving,2000,Greece,0,0,0,0,5,24,238,0
Diving,2000,Canada,0,1,1,2,7,24,238,0
Diving,2000,Italy,0,0,0,0,5,24,238,0
Diving,2000,Azerbaijan,0,0,0,0,1,24,238,0
Diving,2000,Chinese Taipei,0,0,0,0,4,24,238,0
Diving,2000,Romania,0,0,0,0,3,24,238,0
Diving,2000,North Korea,0,0,0,0,5,24,238,0
Diving,2000,South Korea,0,0,0,0,4,24,238,0
Diving,2000,United States,1,0,0,1,7,24,238,0
Diving,2000,Switzerland,0,0,0,0,3,24,238,0
Diving,2000,Russia,2,1,2,5,7,24,238,0
Diving,2000,Philippines,0,0,0,0,2,24,238,0
Diving,2000,Brazil,0,0,0,0,2,24,238,0
Diving,2000,Austria,0,0,0,0,3,24,238,0
Diving,2000,China,5,5,0,10,8,24,238,0
Diving,2000,Venezuela,0,0,0,0,3,24,238,0
Diving,2000,Australia,0,0,2,2,6,24,238,1
Diving,2000,Thailand,0,0,0,0,2,24,238,0
Diving,2000,Argentina,0,0,0,0,1,24,238,0
Diving,2000,Sweden,0,0,0,0,1,24,238,0
Diving,2000,Ukraine,0,0,1,1,8,24,238,0
Diving,2000,Czech Republic,0,0,0,0,1,24,238,0
Diving,2000,Georgia,0,0,0,0,1,24,238,0
Diving,2000,Finland,0,0,0,0,2,24,238,0
Diving,2000,Colombia,0,0,0,0,2,24,238,0
Diving,2000,Puerto Rico,0,0,0,0,1,24,238,0
Diving,2000,Peru,0,0,0,0,1,24,238,0
Diving,2000,Zimbabwe,0,0,0,0,1,24,238,0
Diving,2000,Japan,0,0,0,0,1,24,238,0
Diving,2000,Hong Kong,0,0,0,0,1,24,238,0
Diving,1996,Mexico,0,0,0,0,5,12,139,0
Diving,1996,Kazakhstan,0,0,0,0,5,12,139,0
Diving,1996,Kuwait,0,0,0,0,2,12,139,0
Diving,1996,Puerto Rico,0,0,0,0,2,12,139,0
Diving,1996,Belarus,0,0,0,0,5,12,139,0
Diving,1996,Great Britain,0,0,0,0,5,12,139,0
Diving,1996,Spain,0,0,0,0,5,12,139,0
Diving,1996,Sweden,0,0,0,0,3,12,139,0
Diving,1996,Australia,0,0,0,0,7,12,139,0
Diving,1996,Armenia,0,0,0,0,2,12,139,0
Diving,1996,Canada,0,0,1,1,6,12,139,0
Diving,1996,Sri Lanka,0,0,0,0,1,12,139,0
Diving,1996,Germany,0,2,0,2,7,12,139,0
Diving,1996,Azerbaijan,0,0,0,0,1,12,139,0
Diving,1996,Chinese Taipei,0,0,0,0,2,12,139,0
Diving,1996,Romania,0,0,0,0,3,12,139,0
Diving,1996,North Korea,0,0,0,0,3,12,139,0
Diving,1996,United States,0,0,2,2,8,12,139,1
Diving,1996,France,0,0,0,0,1,12,139,0
Diving,1996,Venezuela,0,0,0,0,1,12,139,0
Diving,1996,Italy,0,0,0,0,2,12,139,0
Diving,1996,Austria,0,0,0,0,2,12,139,0
Diving,1996,China,3,1,1,5,7,12,139,0
Diving,1996,Georgia,0,0,0,0,2,12,139,0
Diving,1996,Bulgaria,0,0,0,0,1,12,139,0
Diving,1996,South Korea,0,0,0,0,4,12,139,0
Diving,1996,Costa Rica,0,0,0,0,1,12,139,0
Diving,1996,Bolivia,0,0,0,0,1,12,139,0
Diving,1996,Russia,1,1,0,2,7,12,139,0
Diving,1996,Uruguay,0,0,0,0,1,12,139,0
Diving,1996,Japan,0,0,0,0,3,12,139,0
Diving,1996,Ukraine,0,0,0,0,6,12,139,0
Diving,1996,Hungary,0,0,0,0,2,12,139,0
Diving,1996,Hong Kong,0,0,0,0,1,12,139,0
Diving,1996,Tajikistan,0,0,0,0,2,12,139,0
Diving,1996,Thailand,0,0,0,0,2,12,139,0
Diving,1996,Greece,0,0,0,0,1,12,139,0
Diving,1996,Zimbabwe,0,0,0,0,1,12,139,0
Diving,1996,Serbia and Montenegro,0,0,0,0,2,12,139,0
Diving,1992,Mexico,0,0,0,0,8,12,112,0
Diving,1992,Australia,0,0,0,0,7,12,112,0
Diving,1992,Unified Team,0,2,1,3,7,12,112,0
Diving,1992,Great Britain,0,0,0,0,4,12,112,0
Diving,1992,Spain,0,0,0,0,3,12,112,1
Diving,1992,Sweden,0,0,0,0,1,12,112,0
Diving,1992,Germany,0,0,1,1,7,12,112,0
Diving,1992,Czech Republic,0,0,0,0,1,12,112,0
Diving,1992,Canada,0,0,0,0,8,12,112,0
Diving,1992,Italy,0,0,0,0,3,12,112,0
Diving,1992,Romania,0,0,0,0,4,12,112,0
Diving,1992,United States,1,1,1,3,8,12,112,0
Diving,1992,Zimbabwe,0,0,0,0,2,12,112,0
Diving,1992,Hungary,0,0,0,0,3,12,112,0
Diving,1992,Venezuela,0,0,0,0,1,12,112,0
Diving,1992,France,0,0,0,0,2,12,112,0
Diving,1992,China,3,1,1,5,8,12,112,0
Diving,1992,Argentina,0,0,0,0,2,12,112,0
Diving,1992,Netherlands,0,0,0,0,2,12,112,0
Diving,1992,Japan,0,0,0,0,3,12,112,0
Diving,1992,North Korea,0,0,0,0,4,12,112,0
Diving,1992,Belgium,0,0,0,0,1,12,112,0
Diving,1992,Switzerland,0,0,0,0,2,12,112,0
Diving,1992,Poland,0,0,0,0,1,12,112,0
Diving,1992,Brazil,0,0,0,0,1,12,112,0
Diving,1992,New Zealand,0,0,0,0,1,12,112,0
Diving,1992,Austria,0,0,0,0,2,12,112,0
Diving,1992,Greece,0,0,0,0,1,12,112,0
Diving,1992,Norway,0,0,0,0,1,12,112,0
Diving,1992,Bulgaria,0,0,0,0,1,12,112,0
Diving,1992,South Africa,0,0,0,0,1,12,112,0
Diving,1988,Germany,0,0,0,0,10,12,108,0
Diving,1988,Kuwait,0,0,0,0,1,12,108,0
Diving,1988,Mexico,0,0,1,1,3,12,108,0
Diving,1988,Sweden,0,0,0,0,2,12,108,0
Diving,1988,Great Britain,0,0,0,0,5,12,108,0
Diving,1988,Japan,0,0,0,0,4,12,108,0
Diving,1988,Soviet Union,0,0,0,0,8,12,108,0
Diving,1988,Australia,0,0,0,0,5,12,108,0
Diving,1988,Canada,0,0,0,0,6,12,108,0
Diving,1988,Italy,0,0,0,0,4,12,108,0
Diving,1988,United States,2,1,2,5,7,12,108,0
Diving,1988,Switzerland,0,0,0,0,1,12,108,0
Diving,1988,China,2,3,1,6,8,12,108,0
Diving,1988,Zimbabwe,0,0,0,0,1,12,108,0
Diving,1988,Norway,0,0,0,0,1,12,108,0
Diving,1988,Hungary,0,0,0,0,3,12,108,0
Diving,1988,Spain,0,0,0,0,2,12,108,0
Diving,1988,Barbados,0,0,0,0,1,12,108,0
Diving,1988,Netherlands,0,0,0,0,2,12,108,0
Diving,1988,South Korea,0,0,0,0,2,12,108,1
Diving,1988,Belgium,0,0,0,0,1,12,108,0
Diving,1988,France,0,0,0,0,2,12,108,0
Diving,1988,Finland,0,0,0,0,1,12,108,0
Diving,1988,Austria,0,0,0,0,2,12,108,0
Diving,1988,Brazil,0,0,0,0,1,12,108,0
Diving,1988,Argentina,0,0,0,0,1,12,108,0
Diving,1988,Bahamas,0,0,0,0,1,12,108,0
Diving,1988,Poland,0,0,0,0,1,12,108,0
Diving,1988,Ecuador,0,0,0,0,1,12,108,0
Diving,1988,Hong Kong,0,0,0,0,2,12,108,0
Diving,1984,Kuwait,0,0,0,0,2,12,101,0
Diving,1984,Canada,1,0,0,1,7,12,101,0
Diving,1984,Spain,0,0,0,0,2,12,101,0
Diving,1984,Mexico,0,0,0,0,6,12,101,0
Diving,1984,Dominican Republic,0,0,0,0,3,12,101,0
Diving,1984,China,1,1,1,3,8,12,101,0
Diving,1984,Great Britain,0,0,0,0,6,12,101,0
Diving,1984,Egypt,0,0,0,0,4,12,101,0
Diving,1984,Australia,0,0,0,0,4,12,101,0
Diving,1984,Germany,0,0,0,0,4,12,101,0
Diving,1984,New Zealand,0,0,0,0,3,12,101,0
Diving,1984,Portugal,0,0,0,0,1,12,101,0
Diving,1984,Venezuela,0,0,0,0,1,12,101,0
Diving,1984,Italy,0,0,0,0,2,12,101,0
Diving,1984,France,0,0,0,0,1,12,101,0
Diving,1984,Netherlands,0,0,0,0,1,12,101,0
Diving,1984,United States,2,3,3,8,7,12,101,1
Diving,1984,Austria,0,0,0,0,1,12,101,0
Diving,1984,Hong Kong,0,0,0,0,2,12,101,0
Diving,1984,Belgium,0,0,0,0,1,12,101,0
Diving,1984,Japan,0,0,0,0,3,12,101,0
Diving,1984,Finland,0,0,0,0,1,12,101,0
Diving,1984,South Korea,0,0,0,0,1,12,101,0
Diving,1984,Brazil,0,0,0,0,1,12,101,0
Diving,1984,Argentina,0,0,0,0,1,12,101,0
Diving,1984,Sweden,0,0,0,0,2,12,101,0
Diving,1984,Zimbabwe,0,0,0,0,2,12,101,0
Diving,1984,Syria,0,0,0,0,1,12,101,0
Diving,1984,Norway,0,0,0,0,2,12,101,0
Diving,1980,Soviet Union,2,2,2,6,12,12,88,1
Diving,1980,France,0,0,0,0,1,12,88,0
Diving,1980,Romania,0,0,0,0,3,12,88,0
Diving,1980,Czech Republic,0,0,0,0,2,12,88,0
Diving,1980,Brazil,0,0,0,0,1,12,88,0
Diving,1980,Great Britain,0,0,0,0,6,12,88,0
Diving,1980,Italy,0,0,1,1,1,12,88,0
Diving,1980,Spain,0,0,0,0,3,12,88,0
Diving,1980,Mexico,0,1,0,1,6,12,88,0
Diving,1980,Dominican Republic,0,0,0,0,2,12,88,0
Diving,1980,Australia,0,0,0,0,3,12,88,0
Diving,1980,Bulgaria,0,0,0,0,2,12,88,0
Diving,1980,Poland,0,0,0,0,2,12,88,0
Diving,1980,Cuba,0,0,0,0,2,12,88,0
Diving,1980,Austria,0,0,0,0,3,12,88,0
Diving,1980,Germany,2,1,1,4,9,12,88,0
Diving,1980,Zimbabwe,0,0,0,0,3,12,88,0
Diving,1980,Hungary,0,0,0,0,2,12,88,0
Diving,1980,Sweden,0,0,0,0,2,12,88,0
Diving,1980,Kuwait,0,0,0,0,1,12,88,0
Diving,1980,Denmark,0,0,0,0,1,12,88,0
Diving,1976,Soviet Union,1,0,2,3,11,12,105,0
Diving,1976,Canada,0,0,0,0,9,12,105,1
Diving,1976,Mexico,0,0,0,0,5,12,105,0
Diving,1976,Australia,0,0,0,0,4,12,105,0
Diving,1976,Germany,0,1,0,1,11,12,105,0
Diving,1976,United States,2,1,2,5,11,12,105,0
Diving,1976,Brazil,0,0,0,0,1,12,105,0
Diving,1976,Great Britain,0,0,0,0,4,12,105,0
Diving,1976,Italy,1,1,0,2,4,12,105,0
Diving,1976,Spain,0,0,0,0,2,12,105,0
Diving,1976,Venezuela,0,0,0,0,1,12,105,0
Diving,1976,Czech Republic,0,0,0,0,1,12,105,0
Diving,1976,Austria,0,0,0,0,2,12,105,0
Diving,1976,New Zealand,0,0,0,0,1,12,105,0
Diving,1976,Thailand,0,0,0,0,1,12,105,0
Diving,1976,France,0,0,0,0,2,12,105,0
Diving,1976,Sweden,0,1,0,1,3,12,105,0
Diving,1976,Japan,0,0,0,0,3,12,105,0
Diving,1976,Turkey,0,0,0,0,2,12,105,0
Diving,1976,Kuwait,0,0,0,0,1,12,105,0
Diving,1976,Ecuador,0,0,0,0,1,12,105,0
Diving,1972,Great Britain,0,0,0,0,8,12,124,0
Diving,1972,Mexico,0,0,0,0,4,12,124,0
Diving,1972,Colombia,0,0,0,0,2,12,124,0
Diving,1972,Puerto Rico,0,0,0,0,1,12,124,0
Diving,1972,Germany,0,0,2,2,17,12,124,1
Diving,1972,Canada,0,0,0,0,8,12,124,0
Diving,1972,United States,1,1,1,3,8,12,124,0
Diving,1972,Italy,1,1,1,3,2,12,124,0
Diving,1972,Romania,0,0,0,0,3,12,124,0
Diving,1972,France,0,0,0,0,3,12,124,0
Diving,1972,Netherlands,0,0,0,0,2,12,124,0
Diving,1972,Czech Republic,0,1,0,1,1,12,124,0
Diving,1972,Soviet Union,1,0,0,1,9,12,124,0
Diving,1972,Australia,0,0,0,0,3,12,124,0
Diving,1972,Indonesia,0,0,0,0,1,12,124,0
Diving,1972,Spain,0,0,0,0,2,12,124,0
Diving,1972,Sweden,1,1,0,2,2,12,124,0
Diving,1972,Austria,0,0,0,0,4,12,124,0
Diving,1972,Finland,0,0,0,0,2,12,124,0
Diving,1972,Poland,0,0,0,0,3,12,124,0
Diving,1972,Japan,0,0,0,0,3,12,124,0
Diving,1972,Norway,0,0,0,0,1,12,124,0
Diving,1972,Switzerland,0,0,0,0,1,12,124,0
Diving,1972,Jamaica,0,0,0,0,1,12,124,0
Diving,1968,Egypt,0,0,0,0,1,12,109,0
Diving,1968,Soviet Union,0,2,0,2,10,12,109,0
Diving,1968,Puerto Rico,0,0,0,0,2,12,109,0
Diving,1968,Sweden,0,0,0,0,1,12,109,0
Diving,1968,Japan,0,0,0,0,4,12,109,0
Diving,1968,Mexico,0,1,0,1,6,12,109,1
Diving,1968,Colombia,0,0,0,0,3,12,109,0
Diving,1968,Great Britain,0,0,0,0,5,12,109,0
Diving,1968,Canada,0,0,0,0,4,12,109,0
Diving,1968,Australia,0,0,0,0,2,12,109,0
Diving,1968,Germany,0,0,0,0,13,12,109,0
Diving,1968,United States,2,0,4,6,11,12,109,0
Diving,1968,Italy,1,1,0,2,4,12,109,0
Diving,1968,Netherlands,0,0,0,0,2,12,109,0
Diving,1968,Czech Republic,1,0,0,1,1,12,109,0
Diving,1968,Finland,0,0,0,0,2,12,109,0
Diving,1968,Poland,0,0,0,0,5,12,109,0
Diving,1968,Cuba,0,0,0,0,2,12,109,0
Diving,1968,South Korea,0,0,0,0,2,12,109,0
Diving,1968,Austria,0,0,0,0,1,12,109,0
Diving,1964,Soviet Union,0,0,1,1,12,12,102,0
Diving,1964,Puerto Rico,0,0,0,0,1,12,102,0
Diving,1964,United States,3,2,3,8,12,12,102,0
Diving,1964,Japan,0,0,0,0,9,12,102,1
Diving,1964,Zimbabwe,0,0,0,0,3,12,102,0
Diving,1964,Australia,0,0,0,0,2,12,102,0
Diving,1964,Italy,0,1,0,1,2,12,102,0
Diving,1964,Great Britain,0,0,0,0,6,12,102,0
Diving,1964,Canada,0,0,0,0,3,12,102,0
Diving,1964,Hungary,0,0,0,0,1,12,102,0
Diving,1964,Iran,0,0,0,0,1,12,102,0
Diving,1964,Mexico,0,0,0,0,4,12,102,0
Diving,1964,Germany,1,1,0,2,9,12,102,0
Diving,1964,Colombia,0,0,0,0,1,12,102,0
Diving,1964,South Korea,0,0,0,0,3,12,102,0
Diving,1964,Finland,0,0,0,0,1,12,102,0
Diving,1964,Sweden,0,0,0,0,2,12,102,0
Diving,1964,Austria,0,0,0,0,4,12,102,0
Diving,1964,India,0,0,0,0,2,12,102,0
Diving,1964,Denmark,0,0,0,0,2,12,102,0
Diving,1960,Mexico,0,0,1,1,4,12,96,0
Diving,1960,Colombia,0,0,0,0,1,12,96,0
Diving,1960,Czech Republic,0,0,0,0,1,12,96,0
Diving,1960,Great Britain,0,0,2,2,7,12,96,0
Diving,1960,Soviet Union,0,0,1,1,7,12,96,0
Diving,1960,Sweden,0,0,0,0,4,12,96,0
Diving,1960,Italy,0,0,0,0,5,12,96,1
Diving,1960,Australia,0,0,0,0,4,12,96,0
Diving,1960,Hungary,0,0,0,0,2,12,96,0
Diving,1960,Netherlands,0,0,0,0,2,12,96,0
Diving,1960,Germany,2,0,0,2,7,12,96,0
Diving,1960,United States,2,4,0,6,6,12,96,0
Diving,1960,Argentina,0,0,0,0,1,12,96,0
Diving,1960,United Arab Republic,0,0,0,0,3,12,96,0
Diving,1960,Finland,0,0,0,0,1,12,96,0
Diving,1960,Austria,0,0,0,0,2,12,96,0
Diving,1960,Japan,0,0,0,0,5,12,96,0
Diving,1960,Switzerland,0,0,0,0,1,12,96,0
Diving,1960,Poland,0,0,0,0,1,12,96,0
Diving,1960,Denmark,0,0,0,0,2,12,96,0
Diving,1960,South Korea,0,0,0,0,1,12,96,0
Diving,1960,Canada,0,0,0,0,2,12,96,0
Diving,1960,Rhodesia,0,0,0,0,1,12,96,0
Diving,1960,France,0,0,0,0,4,12,96,0
Diving,1960,Brazil,0,0,0,0,1,12,96,0
Diving,1956,Japan,0,0,0,0,4,12,82,0
Diving,1956,Australia,0,0,0,0,10,12,82,1
Diving,1956,Soviet Union,0,0,0,0,11,12,82,0
Diving,1956,Mexico,1,0,1,2,3,12,82,0
Diving,1956,Great Britain,0,0,0,0,5,12,82,0
Diving,1956,Sweden,0,0,0,0,2,12,82,0
Diving,1956,United States,3,4,2,9,11,12,82,0
Diving,1956,Hungary,0,0,0,0,2,12,82,0
Diving,1956,Denmark,0,0,0,0,1,12,82,0
Diving,1956,Canada,0,0,1,1,2,12,82,0
Diving,1956,Chile,0,0,0,0,2,12,82,0
Diving,1956,France,0,0,0,0,2,12,82,0
Diving,1956,Austria,0,0,0,0,1,12,82,0
Diving,1956,Brazil,0,0,0,0,2,12,82,0
Diving,1956,Israel,0,0,0,0,1,12,82,0
Diving,1956,Finland,0,0,0,0,1,12,82,0
Diving,1952,Egypt,0,0,0,0,4,12,97,0
Diving,1952,Germany,0,0,1,1,4,12,97,0
Diving,1952,United States,4,2,3,9,11,12,97,0
Diving,1952,Soviet Union,0,0,0,0,10,12,97,0
