Sport,Year,Team,gold_medals,silver_medals,bronze_medals,total_medals,participants,sport_total_medals,sport_total_participants,isHost
Athletics,1904,South Africa,0,0,0,0,3,72,201,0
Athletics,1904,New York Athletic Club,1,0,0,1,5,72,201,0
Athletics,1904,Germany,0,0,1,1,2,72,201,0
Athletics,1906,Great Britain,3,5,1,9,19,63,470,0
Athletics,1906,Finland,1,0,1,2,3,63,470,0
Athletics,1906,Greece,1,2,4,7,75,63,470,0
Athletics,1906,Crete,0,0,0,0,8,63,470,0
Athletics,1906,Canada,1,1,0,2,3,63,470,0
Athletics,1906,United States,11,5,6,22,31,63,470,0
Athletics,1906,Australia,0,0,2,2,3,63,470,0
Athletics,1906,Austria,0,0,0,0,10,63,470,0
Athletics,1906,Germany,0,1,1,2,15,63,470,0
Athletics,1906,France,1,0,0,1,14,63,470,0
Athletics,1906,Sweden,2,4,5,11,13,63,470,0
Athletics,1906,Norway,0,0,0,0,7,63,470,0
Athletics,1906,Denmark,0,0,0,0,4,63,470,0
Athletics,1906,Italy,0,0,0,0,6,63,470,0
Athletics,1906,Hungary,1,3,1,5,12,63,470,0
Athletics,1906,Belgium,0,1,0,1,2,63,470,0
Athletics,1906,Bohemia,0,0,0,0,5,63,470,0
Athletics,1906,Turkey,0,0,0,0,1,63,470,0
Athletics,1906,Egypt,0,0,0,0,1,63,470,0
Athletics,1906,Switzerland,0,0,0,0,1,63,470,0
Athletics,1908,United States,15,10,8,33,83,78,778,0
Athletics,1908,Denmark,0,0,0,0,8,78,778,0
Athletics,1908,Great Britain,7,7,3,17,126,78,778,0
Athletics,1908,Australasia,0,0,1,1,9,78,778,0
Athletics,1908,Sweden,2,0,3,5,31,78,778,0
Athletics,1908,France,0,1,1,2,19,78,778,0
Athletics,1908,Canada,1,1,4,6,27,78,778,0
Athletics,1908,Italy,0,1,0,1,12,78,778,0
Athletics,1908,Greece,0,3,0,3,12,78,778,0
Athletics,1908,Germany,0,1,1,2,20,78,778,0
Athletics,1908,Norway,0,1,2,3,11,78,778,0
Athletics,1908,Hungary,0,1,1,2,19,78,778,0
Athletics,1908,Netherlands,0,0,0,0,19,78,778,0
Athletics,1908,Belgium,0,0,0,0,6,78,778,0
Athletics,1908,South Africa,1,1,0,2,6,78,778,0
Athletics,1908,Finland,0,0,1,1,15,78,778,0
Athletics,1908,Russia,0,0,0,0,1,78,778,0
Athletics,1908,Bohemia,0,0,0,0,3,78,778,0
Athletics,1908,Austria,0,0,0,0,2,78,778,0
Athletics,1908,Switzerland,0,0,0,0,1,78,778,0
Judo,1964,Mexico,0,0,0,0,3,12,72,0
Judo,1964,Costa Rica,0,0,0,0,2,12,72,0
Judo,1964,Soviet Union,0,0,2,2,4,12,72,0
Judo,1964,Australia,0,0,1,1,4,12,72,0
Judo,1964,France,0,0,0,0,4,12,72,0
Judo,1964,United States,0,0,1,1,4,12,72,0
Judo,1964,Italy,0,0,0,0,2,12,72,0
Judo,1964,Argentina,0,0,0,0,3,12,72,0
Judo,1964,Chinese Taipei,0,0,0,0,4,12,72,0
Judo,1964,Panama,0,0,0,0,1,12,72,0
Judo,1964,Philippines,0,0,0,0,4,12,72,0
Judo,1964,Netherlands,1,0,0,1,4,12,72,0
Judo,1964,Germany,0,1,1,2,4,12,72,0
Judo,1964,Tunisia,0,0,0,0,1,12,72,0
Judo,1964,Switzerland,0,1,0,1,1,12,72,0
Judo,1964,Thailand,0,0,0,0,3,12,72,0
Judo,1964,Great Britain,0,0,0,0,4,12,72,0
Judo,1964,Japan,3,1,0,4,4,12,72,1
Judo,1964,South Korea,0,0,1,1,4,12,72,0
Judo,1964,South Vietnam,0,0,0,0,3,12,72,0
Judo,1964,Venezuela,0,0,0,0,1,12,72,0
Judo,1964,Portugal,0,0,0,0,1,12,72,0
Judo,1964,Malaysia,0,0,0,0,1,12,72,0
Judo,1964,Austria,0,0,0,0,3,12,72,0
Judo,1964,Canada,0,1,0,1,1,12,72,0
Judo,1964,Ireland,0,0,0,0,1,12,72,0
Judo,1964,Brazil,0,0,0,0,1,12,72,0
Judo,1972,Poland,0,1,0,1,4,18,166,0
Judo,1972,Austria,0,0,0,0,6,18,166,0
Judo,1972,Finland,0,0,0,0,1,18,166,0
Judo,1972,France,0,0,3,3,5,18,166,0
Judo,1972,Madagascar,0,0,0,0,4,18,166,0
Judo,1972,Mexico,0,0,0,0,3,18,166,0
Judo,1972,Switzerland,0,0,0,0,6,18,166,0
Judo,1972,Cuba,0,0,0,0,3,18,166,0
Judo,1972,Serbia,0,0,0,0,3,18,166,0
Judo,1972,Mongolia,0,0,0,0,5,18,166,0
Judo,1972,Germany,0,1,2,3,10,18,166,1
Judo,1972,Morocco,0,0,0,0,3,18,166,0
Judo,1972,Australia,0,0,0,0,4,18,166,0
Judo,1972,Suriname,0,0,0,0,1,18,166,0
Judo,1972,Senegal,0,0,0,0,6,18,166,0
Judo,1972,Netherlands,2,0,0,2,3,18,166,0
Judo,1972,Puerto Rico,0,0,0,0,3,18,166,0
Judo,1972,Liechtenstein,0,0,0,0,2,18,166,0
Judo,1972,United States,0,0,0,0,6,18,166,0
Judo,1972,Mali,0,0,0,0,2,18,166,0
Judo,1972,Ireland,0,0,0,0,5,18,166,0
Judo,1972,Dominican Republic,0,0,0,0,2,18,166,0
Judo,1972,Chinese Taipei,0,0,0,0,4,18,166,0
Judo,1972,Lebanon,0,0,0,0,2,18,166,0
Judo,1972,Soviet Union,1,1,2,4,6,18,166,0
Judo,1972,Italy,0,0,0,0,2,18,166,0
Judo,1972,Philippines,0,0,0,0,3,18,166,0
Judo,1972,Canada,0,0,0,0,5,18,166,0
Judo,1972,Portugal,0,0,0,0,2,18,166,0
Judo,1972,Argentina,0,0,0,0,1,18,166,0
Judo,1972,Nicaragua,0,0,0,0,1,18,166,0
Judo,1972,South Korea,0,1,0,1,4,18,166,0
Judo,1972,Hungary,0,0,0,0,5,18,166,0
Judo,1972,Brazil,0,0,1,1,2,18,166,0
Judo,1972,Great Britain,0,1,2,3,6,18,166,0
Judo,1972,Czech Republic,0,0,0,0,1,18,166,0
Judo,1972,Japan,3,0,1,4,6,18,166,0
Judo,1972,North Korea,0,0,1,1,1,18,166,0
Judo,1972,Belgium,0,0,0,0,4,18,166,0
Judo,1972,New Zealand,0,0,0,0,1,18,166,0
Judo,1972,Hong Kong,0,0,0,0,1,18,166,0
Judo,1972,Spain,0,0,0,0,1,18,166,0
Judo,1972,Thailand,0,0,0,0,1,18,166,0
Judo,1972,Costa Rica,0,0,0,0,1,18,166,0
Judo,1972,Sweden,0,0,0,0,1,18,166,0
Judo,1976,Poland,0,0,1,1,5,18,154,0
Judo,1976,Finland,0,0,0,0,1,18,154,0
Judo,1976,Kuwait,0,0,0,0,4,18,154,0
Judo,1976,Great Britain,0,1,1,2,5,18,154,0
Judo,1976,North Korea,0,0,0,0,3,18,154,0
Judo,1976,Bulgaria,0,0,0,0,4,18,154,0
Judo,1976,Mongolia,0,0,0,0,5,18,154,0
Judo,1976,Puerto Rico,0,0,0,0,5,18,154,0
Judo,1976,France,0,0,1,1,5,18,154,0
Judo,1976,United States,0,0,1,1,6,18,154,0
Judo,1976,Liechtenstein,0,0,0,0,3,18,154,0
Judo,1976,Australia,0,0,0,0,3,18,154,0
Judo,1976,Soviet Union,2,2,1,5,6,18,154,0
Judo,1976,Panama,0,0,0,0,1,18,154,0
Judo,1976,Nicaragua,0,0,0,0,1,18,154,0
Judo,1976,Spain,0,0,0,0,2,18,154,0
Judo,1976,Ecuador,0,0,0,0,2,18,154,0
Judo,1976,Senegal,0,0,0,0,5,18,154,0
Judo,1976,Suriname,0,0,0,0,1,18,154,0
Judo,1976,Japan,3,1,1,5,6,18,154,0
Judo,1976,Canada,0,0,0,0,5,18,154,1
Judo,1976,Netherlands Antilles,0,0,0,0,2,18,154,0
Judo,1976,Italy,0,0,1,1,3,18,154,0
Judo,1976,Portugal,0,0,0,0,2,18,154,0
Judo,1976,Belgium,0,0,0,0,2,18,154,0
Judo,1976,Turkey,0,0,0,0,3,18,154,0
Judo,1976,Iceland,0,0,0,0,2,18,154,0
Judo,1976,Switzerland,0,0,1,1,2,18,154,0
Judo,1976,Germany,0,1,0,1,7,18,154,0
Judo,1976,Venezuela,0,0,0,0,2,18,154,0
Judo,1976,Cuba,1,0,0,1,2,18,154,0
Judo,1976,Hungary,0,0,1,1,6,18,154,0
Judo,1976,South Korea,0,1,2,3,4,18,154,0
Judo,1976,Austria,0,0,0,0,4,18,154,0
Judo,1976,Singapore,0,0,0,0,1,18,154,0
Judo,1976,Serbia,0,0,1,1,4,18,154,0
Judo,1976,Brazil,0,0,0,0,3,18,154,0
Judo,1976,Israel,0,0,0,0,1,18,154,0
Judo,1976,Hong Kong,0,0,0,0,1,18,154,0
Judo,1976,Czech Republic,0,0,0,0,1,18,154,0
Judo,1976,Mexico,0,0,0,0,1,18,154,0
Judo,1976,Argentina,0,0,0,0,2,18,154,0
Judo,1976,Lebanon,0,0,0,0,1,18,154,0
Judo,1976,Thailand,0,0,0,0,1,18,154,0
Judo,1976,Sweden,0,0,0,0,1,18,154,0
Judo,1980,Syria,0,0,0,0,7,24,193,0
Judo,1980,Great Britain,0,1,1,2,8,24,193,0
Judo,1980,Algeria,0,0,0,0,3,24,193,0
Judo,1980,Netherlands,0,0,1,1,2,24,193,0
Judo,1980,Kuwait,0,0,0,0,5,24,193,0
Judo,1980,Poland,0,0,1,1,7,24,193,0
Judo,1980,Cyprus,0,0,0,0,5,24,193,0
Judo,1980,Ecuador,0,0,0,0,2,24,193,0
Judo,1980,Germany,1,0,4,5,6,24,193,0
Judo,1980,Madagascar,0,0,0,0,2,24,193,0
Judo,1980,Bulgaria,0,1,1,2,4,24,193,0
Judo,1980,Cuba,0,3,0,3,6,24,193,0
Judo,1980,Senegal,0,0,0,0,7,24,193,0
Judo,1980,Czech Republic,0,0,1,1,5,24,193,0
Judo,1980,Austria,0,0,0,0,5,24,193,0
Judo,1980,Sweden,0,0,0,0,4,24,193,0
Judo,1980,Portugal,0,0,0,0,3,24,193,0
Judo,1980,Switzerland,1,0,0,1,4,24,193,0
Judo,1980,Guinea,0,0,0,0,3,24,193,0
Judo,1980,Australia,0,0,0,0,3,24,193,0
Judo,1980,Brazil,0,0,0,0,7,24,193,0
Judo,1980,San Marino,0,0,0,0,2,24,193,0
Judo,1980,Spain,0,0,0,0,2,24,193,0
Judo,1980,Costa Rica,0,0,0,0,3,24,193,0
Judo,1980,Zambia,0,0,0,0,6,24,193,0
Judo,1980,Romania,0,0,0,0,8,24,193,0
Judo,1980,Mongolia,0,1,1,2,7,24,193,0
Judo,1980,Zimbabwe,0,0,0,0,2,24,193,0
Judo,1980,France,2,1,1,4,7,24,193,0
Judo,1980,Mali,0,0,0,0,3,24,193,0
Judo,1980,Cameroon,0,0,0,0,5,24,193,0
Judo,1980,Finland,0,0,0,0,3,24,193,0
Judo,1980,Iceland,0,0,0,0,2,24,193,0
Judo,1980,Italy,1,0,0,1,1,24,193,0
Judo,1980,Hungary,0,0,2,2,8,24,193,0
Judo,1980,Mexico,0,0,0,0,2,24,193,0
Judo,1980,Ireland,0,0,0,0,2,24,193,0
Judo,1980,Soviet Union,2,1,2,5,8,24,193,1
Judo,1980,Lebanon,0,0,0,0,2,24,193,0
Judo,1980,North Korea,0,0,0,0,4,24,193,0
Judo,1980,Serbia,0,0,1,1,6,24,193,0
Judo,1980,Belgium,1,0,0,1,1,24,193,0
Judo,1984,Dominican Republic,0,0,0,0,2,24,212,0
Judo,1984,Great Britain,0,1,2,3,8,24,212,0
Judo,1984,United States,0,1,1,2,8,24,212,1
Judo,1984,Kuwait,0,0,0,0,5,24,212,0
Judo,1984,France,0,1,2,3,8,24,212,0
Judo,1984,South Korea,2,2,1,5,8,24,212,0
Judo,1984,Argentina,0,0,0,0,4,24,212,0
Judo,1984,Ecuador,0,0,0,0,1,24,212,0
Judo,1984,Turkey,0,0,0,0,3,24,212,0
Judo,1984,Canada,0,0,1,1,8,24,212,0
Judo,1984,Tunisia,0,0,0,0,3,24,212,0
Judo,1984,Monaco,0,0,0,0,1,24,212,0
Judo,1984,Cameroon,0,0,0,0,6,24,212,0
Judo,1984,Puerto Rico,0,0,0,0,2,24,212,0
Judo,1984,Liechtenstein,0,0,0,0,2,24,212,0
Judo,1984,Brazil,0,1,2,3,7,24,212,0
Judo,1984,San Marino,0,0,0,0,2,24,212,0
Judo,1984,Chinese Taipei,0,0,0,0,4,24,212,0
Judo,1984,Switzerland,0,0,0,0,2,24,212,0
Judo,1984,Norway,0,0,0,0,3,24,212,0
Judo,1984,Hong Kong,0,0,0,0,4,24,212,0
Judo,1984,Australia,0,0,0,0,3,24,212,0
Judo,1984,Romania,0,0,2,2,3,24,212,0
Judo,1984,Bolivia,0,0,0,0,1,24,212,0
Judo,1984,Senegal,0,0,0,0,6,24,212,0
Judo,1984,Costa Rica,0,0,0,0,4,24,212,0
Judo,1984,Portugal,0,0,0,0,4,24,212,0
Judo,1984,Guinea,0,0,0,0,1,24,212,0
Judo,1984,Mali,0,0,0,0,1,24,212,0
Judo,1984,Morocco,0,0,0,0,3,24,212,0
Judo,1984,Lebanon,0,0,0,0,3,24,212,0
Judo,1984,Egypt,0,1,0,1,6,24,212,0
Judo,1984,Italy,0,1,0,1,5,24,212,0
Judo,1984,Peru,0,0,0,0,1,24,212,0
Judo,1984,Ireland,0,0,0,0,1,24,212,0
Judo,1984,Iceland,0,0,1,1,2,24,212,0
Judo,1984,Spain,0,0,0,0,6,24,212,0
Judo,1984,Mexico,0,0,0,0,4,24,212,0
Judo,1984,Sweden,0,0,0,0,4,24,212,0
Judo,1984,Austria,1,0,1,2,4,24,212,0
Judo,1984,Netherlands,0,0,0,0,3,24,212,0
Judo,1984,Japan,4,0,1,5,8,24,212,0
Judo,1984,Finland,0,0,0,0,3,24,212,0
Judo,1984,Denmark,0,0,0,0,1,24,212,0
Judo,1984,Germany,1,0,2,3,8,24,212,0
Judo,1984,Zambia,0,0,0,0,3,24,212,0
Judo,1984,Israel,0,0,0,0,2,24,212,0
Judo,1984,Cyprus,0,0,0,0,2,24,212,0
Judo,1984,Serbia,0,0,0,0,5,24,212,0
Judo,1984,Fiji,0,0,0,0,2,24,212,0
Judo,1984,Belgium,0,0,0,0,2,24,212,0
Judo,1984,China,0,0,0,0,5,24,212,0
Judo,1984,Suriname,0,0,0,0,1,24,212,0
Judo,1984,Congo (Brazzaville),0,0,0,0,3,24,212,0
Judo,1984,Paraguay,0,0,0,0,1,24,212,0
Judo,1984,Cote d'Ivoire,0,0,0,0,2,24,212,0
Judo,1984,Chile,0,0,0,0,1,24,212,0
Judo,1984,New Zealand,0,0,0,0,3,24,212,0
Judo,1984,Venezuela,0,0,0,0,1,24,212,0
Judo,1984,Honduras,0,0,0,0,1,24,212,0
Judo,1984,El Salvador,0,0,0,0,2,24,212,0
Triathlon,2000,Russia,0,0,0,0,1,6,100,0
Triathlon,2000,Luxembourg,0,0,0,0,1,6,100,0
Triathlon,2000,Brazil,0,0,0,0,6,6,100,0
Triathlon,2000,Netherlands,0,0,0,0,6,6,100,0
Triathlon,2000,Czech Republic,0,0,1,1,4,6,100,0
Triathlon,2000,France,0,0,0,0,6,6,100,0
Triathlon,2000,Spain,0,0,0,0,4,6,100,0
Triathlon,2000,United States,0,0,0,0,6,6,100,0
Triathlon,2000,Italy,0,0,0,0,3,6,100,0
Triathlon,2000,Chile,0,0,0,0,1,6,100,0
Triathlon,2000,Great Britain,0,0,0,0,6,6,100,0
Triathlon,2000,New Zealand,0,0,0,0,4,6,100,0
Triathlon,2000,Germany,0,1,0,1,4,6,100,0
Triathlon,2000,Canada,1,0,0,1,4,6,100,0
Triathlon,2000,Hungary,0,0,0,0,4,6,100,0
Triathlon,2000,Austria,0,0,0,0,1,6,100,0
Triathlon,2000,Costa Rica,0,0,0,0,1,6,100,0
Triathlon,2000,Japan,0,0,0,0,6,6,100,0
Triathlon,2000,Kazakhstan,0,0,0,0,2,6,100,0
Triathlon,2000,Argentina,0,0,0,0,1,6,100,0
Triathlon,2000,Venezuela,0,0,0,0,1,6,100,0
Triathlon,2000,Switzerland,1,0,1,2,6,6,100,0
Triathlon,2000,Australia,0,1,0,1,6,6,100,1
Triathlon,2000,Denmark,0,0,0,0,2,6,100,0
Triathlon,2000,Ukraine,0,0,0,0,2,6,100,0
Triathlon,2000,Greece,0,0,0,0,1,6,100,0
Triathlon,2000,Zimbabwe,0,0,0,0,1,6,100,0
Triathlon,2000,Netherlands Antilles,0,0,0,0,1,6,100,0
Triathlon,2000,South Africa,0,0,0,0,2,6,100,0
Triathlon,2000,Colombia,0,0,0,0,1,6,100,0
Triathlon,2000,China,0,0,0,0,2,6,100,0
Triathlon,2000,Belgium,0,0,0,0,2,6,100,0
Triathlon,2000,Sweden,0,0,0,0,1,6,100,0
Triathlon,2000,Jamaica,0,0,0,0,1,6,100,0
Triathlon,2004,Estonia,0,0,0,0,1,6,99,0
Triathlon,2004,Austria,1,0,0,1,3,6,99,0
Triathlon,2004,Argentina,0,0,0,0,2,6,99,0
Triathlon,2004,Russia,0,0,0,0,3,6,99,0
Triathlon,2004,France,0,0,0,0,4,6,99,0
Triathlon,2004,Australia,0,1,0,1,6,6,99,0
Triathlon,2004,Czech Republic,0,0,0,0,5,6,99,0
Triathlon,2004,Spain,0,0,0,0,6,6,99,0
Triathlon,2004,Bermuda,0,0,0,0,1,6,99,0
Triathlon,2004,New Zealand,1,1,0,2,4,6,99,0
Triathlon,2004,Mexico,0,0,0,0,2,6,99,0
Triathlon,2004,Italy,0,0,0,0,3,6,99,0
Triathlon,2004,Colombia,0,0,0,0,1,6,99,0
Triathlon,2004,Brazil,0,0,0,0,6,6,99,0
Triathlon,2004,Germany,0,0,0,0,5,6,99,0
Triathlon,2004,Great Britain,0,0,0,0,6,6,99,0
Triathlon,2004,Portugal,0,0,0,0,1,6,99,0
Triathlon,2004,Kazakhstan,0,0,0,0,3,6,99,0
Triathlon,2004,Venezuela,0,0,0,0,1,6,99,0
Triathlon,2004,South Africa,0,0,0,0,2,6,99,0
Triathlon,2004,Denmark,0,0,0,0,1,6,99,0
Triathlon,2004,Japan,0,0,0,0,5,6,99,0
Triathlon,2004,Ukraine,0,0,0,0,2,6,99,0
Triathlon,2004,Netherlands,0,0,0,0,2,6,99,0
Triathlon,2004,Switzerland,0,0,1,1,5,6,99,0
Triathlon,2004,United States,0,0,1,1,6,6,99,0
Triathlon,2004,Greece,0,0,0,0,1,6,99,1
Triathlon,2004,Hong Kong,0,0,0,0,1,6,99,0
Triathlon,2004,Luxembourg,0,0,0,0,1,6,99,0
Triathlon,2004,Canada,0,0,0,0,5,6,99,0
Triathlon,2004,Hungary,0,0,0,0,1,6,99,0
Triathlon,2004,Belgium,0,0,0,0,2,6,99,0
Triathlon,2004,China,0,0,0,0,2,6,99,0
Triathlon,2008,Russia,0,0,0,0,5,6,110,0
Triathlon,2008,Austria,0,0,0,0,4,6,110,0
Triathlon,2008,Estonia,0,0,0,0,1,6,110,0
Triathlon,2008,Australia,1,0,1,2,5,6,110,0
Triathlon,2008,Great Britain,0,0,0,0,5,6,110,0
Triathlon,2008,France,0,0,0,0,5,6,110,0
Triathlon,2008,United States,0,0,0,0,6,6,110,0
Triathlon,2008,Netherlands,0,0,0,0,2,6,110,0
Triathlon,2008,Luxembourg,0,0,0,0,2,6,110,0
Triathlon,2008,Italy,0,0,0,0,4,6,110,0
Triathlon,2008,Spain,0,0,0,0,4,6,110,0
Triathlon,2008,Brazil,0,0,0,0,3,6,110,0
Triathlon,2008,Mexico,0,0,0,0,2,6,110,0
Triathlon,2008,Belgium,0,0,0,0,2,6,110,0
Triathlon,2008,Poland,0,0,0,0,3,6,110,0
Triathlon,2008,Ireland,0,0,0,0,1,6,110,0
Triathlon,2008,Greece,0,0,0,0,1,6,110,0
Triathlon,2008,Germany,1,0,0,1,6,6,110,0
Triathlon,2008,New Zealand,0,0,1,1,6,6,110,0
Triathlon,2008,Bermuda,0,0,0,0,1,6,110,0
Triathlon,2008,Zimbabwe,0,0,0,0,1,6,110,0
Triathlon,2008,Portugal,0,1,0,1,3,6,110,0
Triathlon,2008,Czech Republic,0,0,0,0,3,6,110,0
Triathlon,2008,Canada,0,1,0,1,6,6,110,0
Triathlon,2008,Denmark,0,0,0,0,1,6,110,0
Triathlon,2008,Ukraine,0,0,0,0,3,6,110,0
Triathlon,2008,Switzerland,0,0,0,0,6,6,110,0
Triathlon,2008,Japan,0,0,0,0,5,6,110,0
Triathlon,2008,Hungary,0,0,0,0,2,6,110,0
Triathlon,2008,Hong Kong,0,0,0,0,2,6,110,0
Triathlon,2008,Sweden,0,0,0,0,1,6,110,0
Triathlon,2008,South Africa,0,0,0,0,2,6,110,0
Triathlon,2008,Chile,0,0,0,0,1,6,110,0
Triathlon,2008,Kazakhstan,0,0,0,0,1,6,110,0
Triathlon,2008,Slovakia,0,0,0,0,1,6,110,0
Triathlon,2008,Syria,0,0,0,0,1,6,110,0
Triathlon,2008,China,0,0,0,0,3,6,110,1
Triathlon,2012,Russia,0,0,0,0,5,6,110,0
Triathlon,2012,Japan,0,0,0,0,5,6,110,0
Triathlon,2012,Australia,0,0,1,1,6,6,110,0
Triathlon,2012,China,0,0,0,0,2,6,110,0
Triathlon,2012,Monaco,0,0,0,0,1,6,110,0
Triathlon,2012,Germany,0,0,0,0,6,6,110,0
Triathlon,2012,United States,0,0,0,0,5,6,110,0
Triathlon,2012,Ecuador,0,0,0,0,1,6,110,0
Triathlon,2012,Great Britain,1,0,1,2,6,6,110,0
Triathlon,2012,Bermuda,0,0,0,0,2,6,110,0
Triathlon,2012,Netherlands,0,0,0,0,2,6,110,0
Triathlon,2012,Czech Republic,0,0,0,0,4,6,110,0
Triathlon,2012,Costa Rica,0,0,0,0,1,6,110,0
Triathlon,2012,France,0,0,0,0,6,6,110,0
Triathlon,2012,Brazil,0,0,0,0,3,6,110,0
Triathlon,2012,Poland,0,0,0,0,3,6,110,0
Triathlon,2012,Spain,0,1,0,1,6,6,110,0
Triathlon,2012,Belgium,0,0,0,0,2,6,110,0
Triathlon,2012,New Zealand,0,0,0,0,6,6,110,0
Triathlon,2012,Italy,0,0,0,0,3,6,110,0
Triathlon,2012,Zimbabwe,0,0,0,0,1,6,110,0
