Sport,Year,Team,gold_medals,silver_medals,bronze_medals,total_medals,participants,sport_total_medals,sport_total_participants,Host
Wrestling,2020,Romania,0,0,0,0,5,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Peru,0,0,0,0,1,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,San Marino,0,0,1,1,1,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,India,0,1,1,2,7,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Guam,0,0,0,0,1,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Iran,1,1,2,4,11,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Mongolia,0,0,1,1,9,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Ukraine,1,1,2,4,10,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Algeria,0,0,0,0,8,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Denmark,0,0,0,0,1,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Sweden,0,0,0,0,3,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Cuba,2,0,1,3,12,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Guinea,0,0,0,0,3,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Italy,0,0,1,1,2,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Russia,4,0,4,8,17,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Moldova,0,0,0,0,2,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Germany,1,0,2,3,7,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,United States,3,2,4,9,15,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Serbia,0,0,1,1,4,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,China,0,2,2,4,11,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Argentina,0,0,0,0,1,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Canada,0,0,0,0,4,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Senegal,0,0,0,0,1,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Japan,5,1,1,7,12,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Cameroon,0,0,0,0,1,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Poland,0,0,1,1,6,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Georgia,0,2,0,2,7,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Puerto Rico,0,0,0,0,1,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Latvia,0,0,0,0,1,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Colombia,0,0,0,0,3,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Bulgaria,0,0,2,2,7,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Croatia,0,0,0,0,2,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Belarus,0,2,1,3,8,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,South Korea,0,0,0,0,2,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Lithuania,0,0,0,0,1,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Hungary,1,1,0,2,6,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Finland,0,0,0,0,2,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,France,0,0,0,0,2,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Mexico,0,0,0,0,2,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Estonia,0,0,0,0,2,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Slovakia,0,0,0,0,1,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Brazil,0,0,0,0,3,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,North Macedonia,0,0,0,0,1,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Czech Republic,0,0,0,0,1,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Greece,0,0,0,0,2,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Switzerland,0,0,0,0,1,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Kosovo,0,0,0,0,1,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2020,Ecuador,0,0,0,0,2,54,289," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)"
Wrestling,2016,Iran,1,1,3,5,12,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Uzbekistan,0,0,3,3,8,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Venezuela,0,0,0,0,9,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Turkey,1,2,2,5,14,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Nigeria,0,0,0,0,7,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Morocco,0,0,0,0,3,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Russia,4,3,2,9,17,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Bulgaria,0,0,1,1,11,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Armenia,1,1,0,2,8,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Romania,0,0,1,1,5,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Cameroon,0,0,0,0,3,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Georgia,1,0,2,3,11,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Tunisia,0,0,1,1,4,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Ukraine,0,1,0,1,11,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Ecuador,0,0,0,0,2,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Estonia,0,0,0,0,3,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,United States,2,0,1,3,14,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,India,0,0,1,1,7,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Hungary,0,0,0,0,8,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Poland,0,0,1,1,8,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Bahrain,0,0,0,0,1,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Azerbaijan,0,3,6,9,14,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Algeria,0,0,0,0,3,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Sweden,0,0,2,2,7,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Norway,0,0,1,1,2,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Argentina,0,0,0,0,1,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,China,0,0,2,2,13,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Netherlands,0,0,0,0,1,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Cuba,2,1,0,3,10,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Guinea Bissau,0,0,0,0,2,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Haiti,0,0,0,0,1,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Colombia,0,0,0,0,5,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Moldova,0,0,0,0,3,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Italy,0,0,1,1,2,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Chinese Taipei,0,0,0,0,1,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Cambodia,0,0,0,0,1,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Belarus,0,1,2,3,8,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Senegal,0,0,0,0,2,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Mongolia,0,0,0,0,10,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Japan,4,3,0,7,10,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Egypt,0,0,0,0,10,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Kyrgyzstan,0,0,0,0,7,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Kazakhstan,0,1,2,3,12,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Puerto Rico,0,0,0,0,2,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Canada,1,0,0,1,8,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Brazil,0,0,0,0,5,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Germany,0,0,1,1,7,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Spain,0,0,0,0,1,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Serbia,1,0,0,1,3,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Latvia,0,0,0,0,1,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Czech Republic,0,0,0,0,1,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Finland,0,0,0,0,3,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Austria,0,0,0,0,1,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Australia,0,0,0,0,3,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,North Korea,0,0,0,0,4,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,France,0,0,0,0,2,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,South Korea,0,0,1,1,5,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Israel,0,0,0,0,1,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Mexico,0,0,0,0,1,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Denmark,0,1,0,1,1,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Vietnam,0,0,0,0,1,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Greece,0,0,0,0,1,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Peru,0,0,0,0,1,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Croatia,0,0,0,0,1,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Palau,0,0,0,0,1,54,346," Rio de Janeiro, Brazil"
Wrestling,2016,Lithuania,0,0,0,0,1,54,346," Rio de Janeiro, Brazil"
Wrestling,2012,Egypt,0,1,0,1,11,54,339," London, United Kingdom"
Wrestling,2012,Iran,3,1,2,6,13,54,339," London, United Kingdom"
Wrestling,2012,Uzbekistan,1,0,0,1,8,54,339," London, United Kingdom"
Wrestling,2012,Tajikistan,0,0,0,0,4,54,339," London, United Kingdom"
Wrestling,2012,Tunisia,0,0,0,0,7,54,339," London, United Kingdom"
Wrestling,2012,Turkey,0,0,1,1,13,54,339," London, United Kingdom"
Wrestling,2012,Finland,0,0,0,0,2,54,339," London, United Kingdom"
Wrestling,2012,Ukraine,0,1,0,1,13,54,339," London, United Kingdom"
Wrestling,2012,Armenia,0,1,1,2,7,54,339," London, United Kingdom"
Wrestling,2012,Romania,0,0,0,0,2,54,339," London, United Kingdom"
Wrestling,2012,Cameroon,0,0,0,0,1,54,339," London, United Kingdom"
Wrestling,2012,Venezuela,0,0,0,0,7,54,339," London, United Kingdom"
Wrestling,2012,Bulgaria,0,1,0,1,9,54,339," London, United Kingdom"
Wrestling,2012,Ecuador,0,0,0,0,2,54,339," London, United Kingdom"
Wrestling,2012,Cuba,1,0,1,2,12,54,339," London, United Kingdom"
Wrestling,2012,Estonia,0,1,0,1,2,54,339," London, United Kingdom"
Wrestling,2012,Morocco,0,0,0,0,2,54,339," London, United Kingdom"
Wrestling,2012,Chile,0,0,0,0,1,54,339," London, United Kingdom"
Wrestling,2012,Hungary,0,1,2,3,7,54,339," London, United Kingdom"
Wrestling,2012,Poland,0,0,1,1,4,54,339," London, United Kingdom"
Wrestling,2012,Russia,4,2,5,11,16,54,339," London, United Kingdom"
Wrestling,2012,Kazakhstan,0,0,3,3,15,54,339," London, United Kingdom"
Wrestling,2012,Mongolia,0,0,1,1,8,54,339," London, United Kingdom"
Wrestling,2012,Azerbaijan,2,2,3,7,13,54,339," London, United Kingdom"
Wrestling,2012,France,0,0,1,1,6,54,339," London, United Kingdom"
Wrestling,2012,Algeria,0,0,0,0,3,54,339," London, United Kingdom"
Wrestling,2012,Cote d'Ivoire,0,0,0,0,1,54,339," London, United Kingdom"
Wrestling,2012,Norway,0,0,0,0,1,54,339," London, United Kingdom"
Wrestling,2012,Argentina,0,0,0,0,1,54,339," London, United Kingdom"
Wrestling,2012,United States,2,0,2,4,17,54,339," London, United Kingdom"
Wrestling,2012,Colombia,0,0,1,1,3,54,339," London, United Kingdom"
Wrestling,2012,Canada,0,1,1,2,9,54,339," London, United Kingdom"
Wrestling,2012,Nigeria,0,0,0,0,4,54,339," London, United Kingdom"
Wrestling,2012,Great Britain,0,0,0,0,1,54,339," London, United Kingdom"
Wrestling,2012,Moldova,0,0,0,0,2,54,339," London, United Kingdom"
Wrestling,2012,North Korea,0,0,1,1,5,54,339," London, United Kingdom"
Wrestling,2012,South Korea,1,0,0,1,9,54,339," London, United Kingdom"
Wrestling,2012,Belarus,0,0,0,0,11,54,339," London, United Kingdom"
Wrestling,2012,Georgia,0,3,3,6,13,54,339," London, United Kingdom"
Wrestling,2012,Guam,0,0,0,0,1,54,339," London, United Kingdom"
Wrestling,2012,India,0,1,1,2,5,54,339," London, United Kingdom"
Wrestling,2012,Germany,0,0,0,0,4,54,339," London, United Kingdom"
Wrestling,2012,Kyrgyzstan,0,0,0,0,4,54,339," London, United Kingdom"
Wrestling,2012,Honduras,0,0,0,0,1,54,339," London, United Kingdom"
Wrestling,2012,Puerto Rico,0,1,0,1,3,54,339," London, United Kingdom"
Wrestling,2012,Sweden,0,0,2,2,6,54,339," London, United Kingdom"
Wrestling,2012,Japan,4,0,2,6,13,54,339," London, United Kingdom"
Wrestling,2012,Federated States of Micronesia,0,0,0,0,1,54,339," London, United Kingdom"
Wrestling,2012,Latvia,0,0,0,0,2,54,339," London, United Kingdom"
Wrestling,2012,Austria,0,0,0,0,1,54,339," London, United Kingdom"
Wrestling,2012,China,0,1,0,1,7,54,339," London, United Kingdom"
Wrestling,2012,Lithuania,0,0,1,1,2,54,339," London, United Kingdom"
Wrestling,2012,Denmark,0,0,0,0,2,54,339," London, United Kingdom"
Wrestling,2012,Serbia,0,0,0,0,1,54,339," London, United Kingdom"
Wrestling,2012,Guinea Bissau,0,0,0,0,2,54,339," London, United Kingdom"
Wrestling,2012,Greece,0,0,0,0,2,54,339," London, United Kingdom"
Wrestling,2012,Iraq,0,0,0,0,1,54,339," London, United Kingdom"
Wrestling,2012,Senegal,0,0,0,0,2,54,339," London, United Kingdom"
Wrestling,2012,Vietnam,0,0,0,0,1,54,339," London, United Kingdom"
Wrestling,2012,Mexico,0,0,0,0,2,54,339," London, United Kingdom"
Wrestling,2012,Namibia,0,0,0,0,1,54,339," London, United Kingdom"
Wrestling,2012,Brazil,0,0,0,0,1,54,339," London, United Kingdom"
Wrestling,2012,Madagascar,0,0,0,0,1,54,339," London, United Kingdom"
Wrestling,2012,Switzerland,0,0,0,0,1,54,339," London, United Kingdom"
Wrestling,2012,Central African Republic,0,0,0,0,1,54,339," London, United Kingdom"
Wrestling,2012,Australia,0,0,0,0,1,54,339," London, United Kingdom"
Wrestling,2012,Italy,0,0,0,0,1,54,339," London, United Kingdom"
Wrestling,2012,Spain,0,0,1,1,1,54,339," London, United Kingdom"
Wrestling,2012,Czech Republic,0,0,0,0,1,54,339," London, United Kingdom"
Wrestling,2012,Croatia,0,0,0,0,2,54,339," London, United Kingdom"
Wrestling,2008,Egypt,0,0,0,0,7,54,343," Beijing, China"
Wrestling,2008,Australia,0,0,0,0,4,54,343," Beijing, China"
Wrestling,2008,Azerbaijan,0,2,2,4,16,54,343," Beijing, China"
Wrestling,2008,Tajikistan,0,1,0,1,2,54,343," Beijing, China"
Wrestling,2008,Sweden,0,0,0,0,5,54,343," Beijing, China"
Wrestling,2008,Tunisia,0,0,0,0,3,54,343," Beijing, China"
Wrestling,2008,Armenia,0,0,2,2,9,54,343," Beijing, China"
Wrestling,2008,France,1,0,1,2,9,54,343," Beijing, China"
Wrestling,2008,Turkey,1,0,1,2,13,54,343," Beijing, China"
Wrestling,2008,Russia,6,3,2,11,18,54,343," Beijing, China"
Wrestling,2008,Canada,1,0,1,2,10,54,343," Beijing, China"
Wrestling,2008,Finland,0,0,0,0,1,54,343," Beijing, China"
Wrestling,2008,Ukraine,0,2,3,5,16,54,343," Beijing, China"
Wrestling,2008,Cameroon,0,0,0,0,1,54,343," Beijing, China"
Wrestling,2008,Venezuela,0,0,0,0,3,54,343," Beijing, China"
Wrestling,2008,Uzbekistan,1,1,0,2,8,54,343," Beijing, China"
Wrestling,2008,Belarus,0,0,2,2,9,54,343," Beijing, China"
Wrestling,2008,United States,1,0,2,3,16,54,343," Beijing, China"
Wrestling,2008,Hungary,0,1,0,1,9,54,343," Beijing, China"
Wrestling,2008,Mongolia,0,0,0,0,6,54,343," Beijing, China"
Wrestling,2008,Kazakhstan,0,1,4,5,16,54,343," Beijing, China"
Wrestling,2008,South Africa,0,0,0,0,1,54,343," Beijing, China"
Wrestling,2008,Peru,0,0,0,0,1,54,343," Beijing, China"
Wrestling,2008,Poland,0,0,1,1,9,54,343," Beijing, China"
Wrestling,2008,Bulgaria,0,1,3,4,12,54,343," Beijing, China"
Wrestling,2008,Cuba,1,0,0,1,12,54,343," Beijing, China"
Wrestling,2008,Slovakia,0,0,1,1,2,54,343," Beijing, China"
Wrestling,2008,Kyrgyzstan,0,1,1,2,5,54,343," Beijing, China"
Wrestling,2008,Georgia,2,0,2,4,10,54,343," Beijing, China"
Wrestling,2008,Norway,0,0,0,0,1,54,343," Beijing, China"
Wrestling,2008,Greece,0,0,0,0,3,54,343," Beijing, China"
Wrestling,2008,Germany,0,1,0,1,7,54,343," Beijing, China"
Wrestling,2008,Algeria,0,0,0,0,3,54,343," Beijing, China"
Wrestling,2008,Moldova,0,0,0,0,2,54,343," Beijing, China"
Wrestling,2008,North Korea,0,0,0,0,3,54,343," Beijing, China"
Wrestling,2008,China,1,2,0,3,16,54,343," Beijing, China"
Wrestling,2008,Romania,0,0,0,0,8,54,343," Beijing, China"
Wrestling,2008,South Korea,0,0,1,1,11,54,343," Beijing, China"
Wrestling,2008,Brazil,0,0,0,0,1,54,343," Beijing, China"
Wrestling,2008,Iran,0,0,1,1,12,54,343," Beijing, China"
Wrestling,2008,Senegal,0,0,0,0,1,54,343," Beijing, China"
Wrestling,2008,Guam,0,0,0,0,1,54,343," Beijing, China"
Wrestling,2008,India,0,0,1,1,3,54,343," Beijing, China"
Wrestling,2008,Palau,0,0,0,0,2,54,343," Beijing, China"
Wrestling,2008,Lithuania,0,0,1,1,4,54,343," Beijing, China"
Wrestling,2008,Serbia,0,0,0,0,2,54,343," Beijing, China"
Wrestling,2008,Albania,0,0,0,0,2,54,343," Beijing, China"
Wrestling,2008,Japan,2,2,2,6,10,54,343," Beijing, China"
Wrestling,2008,Mexico,0,0,0,0,1,54,343," Beijing, China"
Wrestling,2008,Denmark,0,0,0,0,2,54,343," Beijing, China"
Wrestling,2008,El Salvador,0,0,0,0,1,54,343," Beijing, China"
Wrestling,2008,Spain,0,0,0,0,3,54,343," Beijing, China"
Wrestling,2008,Guinea Bissau,0,0,0,0,1,54,343," Beijing, China"
Wrestling,2008,Italy,1,0,0,1,2,54,343," Beijing, China"
Wrestling,2008,Colombia,0,0,1,1,3,54,343," Beijing, China"
Wrestling,2008,Nigeria,0,0,0,0,2,54,343," Beijing, China"
Wrestling,2008,Macedonia,0,0,0,0,1,54,343," Beijing, China"
Wrestling,2008,Switzerland,0,0,0,0,1,54,343," Beijing, China"
Wrestling,2008,Czech Republic,0,0,0,0,1,54,343," Beijing, China"
Wrestling,2004,Norway,0,0,0,0,1,54,342," Athens, Greece"
Wrestling,2004,United States,1,3,2,6,17,54,342," Athens, Greece"
Wrestling,2004,Egypt,1,0,0,1,3,54,342," Athens, Greece"
Wrestling,2004,Australia,0,0,0,0,1,54,342," Athens, Greece"
Wrestling,2004,Azerbaijan,1,0,0,1,7,54,342," Athens, Greece"
Wrestling,2004,Tajikistan,0,0,0,0,4,54,342," Athens, Greece"
Wrestling,2004,Sweden,0,1,0,1,7,54,342," Athens, Greece"
